,ids,col_names
0,"37,38,39,43,45,46,47,48,49","Employment-Based, All_Chargeability_Except_Listed, CH, IN, ME, PH"
1,"154,159,161,163,164,170,171","Employment-Based, All_Chargeability_Except_Listed, CHINA -  mainland born, INDIA, MEXICO, PHILIPPINES"
2,"124,125,126,127,128,129,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,155,156,157,158,160,162,165,166,167,168,169","Employment-Based, All_Chargeability_Except_Listed, CHINA - mainland born, INDIA, MEXICO, PHILIPPINES"
3,"51,52,56","Employment-Based, All_Chargeability_Except_Listed, CHINA, INDIA, MEXICO, PHILIPPINES"
4,50,"Employment-Based, All_Chargeability_Except_Listed, CHINA, INDIA, MEXICO, PHILLIPINES"
5,"42,44","Employment-Based, All_Chargeability_Except_Listed, CHINA-  mainland  born, INDIA, MEXICO, PHILIPPINES"
6,"173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255","Employment-Based, All_Chargeability_Except_Listed, CHINA-  mainland born, EL SALVADOR  GUATEMALA  HONDURAS, INDIA, MEXICO, PHILIPPINES"
7,"197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237","Employment-Based, All_Chargeability_Except_Listed, CHINA-  mainland born, EL SALVADOR  GUATEMALA  HONDURAS, INDIA, MEXICO, PHILIPPINES, VIETNAM"
8,"57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,92,94,101,113,114,130,256,257,258","Employment-Based, All_Chargeability_Except_Listed, CHINA-  mainland born, INDIA, MEXICO, PHILIPPINES"
9,"102,103,104,105,108,109,110,111","Employment-Based, All_Chargeability_Except_Listed, CHINA- mainland born, DOMINICAN REPUBLIC, INDIA, MEXICO, PHILIPPINES"
10,"40,41,91,93,95,96,97,98,99,100,106,107,112,115,116,117,118,119,120,121,122,123","Employment-Based, All_Chargeability_Except_Listed, CHINA- mainland born, INDIA, MEXICO, PHILIPPINES"
11,"53,54,55,172","Employment-Based, All_Chargeability_Except_Listed, CHINA-mainland born, INDIA, MEXICO, PHILIPPINES"
12,"0,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,36","Employment-Based, All_Chargeability_Except_Listed, INDIA, MEXICO, PHILIPPINES"
13,31,"Employment-Based, All_Chargeability_Except_Listed, INDIA, MEXICO, PHILLIPINES"
14,"12,13,14,15,16,17,18","Employment-Based, All_Chargeability_Except_Listed, MEXICO, PHILIPPINES"
